Gender,Age Group,Purchase Date,Product Category,Discount Availed,Gross Amount,Net Amount,Purchase Method,Location,Married
2,2,2,Electronics,1,1493.32,1236.81,Google Pay UPI,Kolkata,1.0
2,1,2,Clothing,1,4568.34,4443.31,Debit Card,Kolkata,1.0
0,3,3,Beauty and Health,1,3735.28,3282.9,Credit Card,Hyderabad,1.0
0,2,1,Sports & Fitness,0,4229.18,4229.18,Google Pay UPI,Ahmedabad,0.0
2,2,6,Electronics,0,2645.23,2645.23,Net Banking,Chennai,1.0
1,1,5,Sports & Fitness,0,2668.85,2668.85,PhonePe UPI,Lucknow,1.0
0,2,4,Electronics,1,4638.99,4463.8,Credit Card,Bangalore,1.0
2,1,1,Home & Kitchen,0,4981.04,4981.04,Paytm UPI,Delhi,0.0
2,1,5,Electronics,1,3797.87,3739.21,Credit Card,Lucknow,1.0
2,2,0,Electronics,0,422.26,422.26,Debit Card,Mumbai,1.0
1,3,1,Sports & Fitness,1,390.43,32.62,Paytm UPI,Ahmedabad,1.0
2,2,6,Electronics,0,4424.54,4424.54,PhonePe UPI,Bangalore,1.0
2,4,2,Home & Kitchen,0,250.73,250.73,Credit Card,Lucknow,0.0
1,1,6,Other,0,1623.89,1623.89,Credit Card,Pune,1.0
1,1,1,Electronics,0,1666.21,1666.21,Debit Card,Pune,0.0
1,1,0,Sports & Fitness,0,2313.16,2313.16,PhonePe UPI,Hyderabad,0.0
0,3,0,Clothing,0,5295.56,5295.56,Paytm UPI,Lucknow,1.0
1,4,5,Electronics,1,1674.12,1330.54,Debit Card,Delhi,0.0
0,1,6,Home & Kitchen,1,1210.45,1011.06,Credit Card,Mumbai,0.0
2,2,6,Electronics,1,2317.06,1956.71,Credit Card,Ahmedabad,0.0
1,1,3,Beauty and Health,1,1632.75,1466.95,Net Banking,Mumbai,0.0
2,1,4,Electronics,0,3569.42,3569.42,Credit Card,Delhi,0.0
1,2,1,Electronics,1,6400.97,6248.4,Cash on Delivery,Jaipur,1.0
2,1,3,Electronics,0,171.25,171.25,Google Pay UPI,Delhi,0.0
1,0,1,Electronics,0,1439.96,1439.96,Debit Card,Delhi,1.0
0,1,4,Clothing,1,785.26,287.38,Credit Card,Delhi,1.0
2,2,5,Pet Care,0,882.12,882.12,Credit Card,Kolkata,0.0
1,1,2,Sports & Fitness,1,3913.4,3447.57,Credit Card,Ahmedabad,0.0
1,2,4,Pet Care,1,2584.36,2087.18,Net Banking,Pune,1.0
1,1,4,Electronics,0,2843.78,2843.78,Debit Card,Hyderabad,1.0
1,2,5,Electronics,1,4389.77,4117.74,Cash on Delivery,Bangalore,1.0
2,1,6,Beauty and Health,0,3833.36,3833.36,Credit Card,Delhi,0.0
1,3,0,Beauty and Health,1,2601.42,2266.88,PhonePe UPI,Mumbai,1.0
1,3,6,Clothing,0,458.26,458.26,Credit Card,Delhi,0.0
2,2,6,Beauty and Health,0,3810.36,3810.36,Net Banking,Delhi,1.0
1,1,1,Books,1,435.48,174.89,Credit Card,Kolkata,1.0
2,2,5,Clothing,1,1390.73,1000.06,Net Banking,Mumbai,1.0
2,4,4,Other,0,5901.1,5901.1,Credit Card,Srinagar,1.0
0,2,2,Beauty and Health,1,2102.69,1882.2,Credit Card,Delhi,1.0
2,3,3,Home & Kitchen,0,2108.88,2108.88,Credit Card,Chennai,1.0
1,3,4,Clothing,1,5358.32,5104.28,Debit Card,Chennai,1.0
1,3,4,Clothing,1,5358.32,5104.28,Debit Card,Chennai,1.0
2,1,0,Electronics,0,4944.5,4944.5,Credit Card,Mumbai,1.0
2,3,5,Sports & Fitness,0,848.18,848.18,Credit Card,Mumbai,0.0
0,3,4,Clothing,1,241.48,65.22,Debit Card,Hyderabad,1.0
2,3,6,Electronics,1,3876.84,3705.37,Credit Card,Bangalore,1.0
0,2,0,Electronics,0,1539.01,1539.01,Net Banking,Mumbai,1.0
1,1,1,Beauty and Health,0,3415.5,3415.5,Net Banking,Ahmedabad,0.0
1,2,0,Electronics,1,1618.26,1473.14,Credit Card,Delhi,0.0
0,2,5,Clothing,0,1843.23,1843.23,Credit Card,Dehradun,1.0
0,1,0,Sports & Fitness,1,2691.49,2429.79,Google Pay UPI,Mumbai,0.0
1,1,1,Electronics,0,1308.82,1308.82,Credit Card,Jaipur,0.0
0,2,0,Clothing,1,3093.08,2836.47,Debit Card,Chennai,0.0
0,1,4,Clothing,0,2471.78,2471.78,Debit Card,Pune,1.0
2,2,0,Beauty and Health,0,4289.93,4289.93,Debit Card,Bangalore,0.0
2,3,5,Beauty and Health,0,198.19,198.19,Credit Card,Delhi,1.0
0,3,2,Beauty and Health,0,1813.8,1813.8,Google Pay UPI,Pune,0.0
0,2,5,Electronics,0,4690.26,4690.26,Credit Card,Pune,1.0
1,1,1,Electronics,1,828.0,754.69,Debit Card,Jaipur,1.0
0,2,4,Clothing,0,4746.33,4746.33,Net Banking,Chennai,0.0
1,2,5,Electronics,1,4630.77,4375.9,Debit Card,Varanasi,0.0
2,2,1,Electronics,0,2350.4,2350.4,Credit Card,Delhi,1.0
2,3,3,Home & Kitchen,0,4291.8,4291.8,Credit Card,Ahmedabad,0.0
2,1,4,Clothing,0,4225.25,4225.25,Credit Card,Hyderabad,0.0
1,1,3,Sports & Fitness,1,2995.41,2720.08,Credit Card,Bangalore,1.0
1,1,6,Home & Kitchen,0,2596.23,2596.23,Credit Card,Chennai,0.0
0,4,1,Electronics,0,1839.7,1839.7,Credit Card,Delhi,1.0
0,1,6,Electronics,1,5774.68,5289.14,Debit Card,Ahmedabad,0.0
0,3,3,Beauty and Health,1,1839.79,1652.66,Credit Card,Ahmedabad,1.0
1,2,3,Beauty and Health,0,2517.18,2517.18,Net Banking,Mumbai,0.0
0,1,0,Beauty and Health,0,1164.18,1164.18,Debit Card,Mumbai,1.0
0,4,2,Toys & Games,1,4906.29,4633.03,Credit Card,Delhi,1.0
1,2,5,Home & Kitchen,0,2402.0,2402.0,International Card,Mumbai,1.0
2,3,3,Sports & Fitness,0,2426.14,2426.14,International Card,Delhi,1.0
2,2,2,Other,0,6356.95,6356.95,Credit Card,Delhi,0.0
2,3,0,Books,0,2296.88,2296.88,Google Pay UPI,Delhi,1.0
0,1,0,Home & Kitchen,1,969.71,820.93,PhonePe UPI,Mumbai,0.0
1,3,2,Electronics,0,801.26,801.26,Net Banking,Delhi,1.0
2,3,3,Clothing,0,1662.96,1662.96,Net Banking,Bangalore,1.0
1,2,5,Sports & Fitness,0,4573.93,4573.93,Paytm UPI,Chennai,1.0
2,1,2,Electronics,1,2478.14,2366.58,Net Banking,Mumbai,0.0
1,3,6,Clothing,0,854.37,854.37,Net Banking,Jaipur,1.0
0,4,3,Sports & Fitness,0,5117.02,5117.02,Credit Card,Hyderabad,1.0
2,3,5,Beauty and Health,0,845.79,845.79,Credit Card,Bangalore,0.0
0,1,6,Clothing,1,2191.53,2073.36,International Card,Other,1.0
0,1,4,Sports & Fitness,0,1666.24,1666.24,Credit Card,Delhi,0.0
1,1,3,Electronics,1,2247.34,1869.79,Debit Card,Mumbai,0.0
1,2,3,Electronics,1,3024.34,2728.1,Credit Card,Pune,1.0
0,4,1,Electronics,1,1928.9,1493.03,International Card,Dehradun,1.0
1,1,1,Electronics,0,5899.91,5899.91,Debit Card,Delhi,0.0
2,1,6,Beauty and Health,0,4985.9,4985.9,Credit Card,Delhi,1.0
2,3,0,Clothing,0,2194.82,2194.82,Net Banking,Mumbai,1.0
2,2,5,Beauty and Health,1,822.55,679.97,Debit Card,Mumbai,1.0
2,2,3,Clothing,0,5093.81,5093.81,Credit Card,Mumbai,0.0
0,1,0,Electronics,1,5993.9,5623.69,Credit Card,Chennai,1.0
2,2,2,Clothing,1,3469.15,3403.91,Debit Card,Pune,0.0
2,2,3,Books,1,4179.09,3737.44,Debit Card,Bangalore,1.0
0,1,3,Electronics,1,3425.68,3213.38,Cash on Delivery,Jaipur,1.0
2,1,1,Toys & Games,1,3045.54,2737.48,Credit Card,Mumbai,1.0
2,1,3,Electronics,0,306.88,306.88,Debit Card,Mumbai,1.0
1,1,2,Toys & Games,0,878.94,878.94,Debit Card,Delhi,0.0
0,2,3,Beauty and Health,0,3599.36,3599.36,Credit Card,Dehradun,1.0
0,2,1,Electronics,0,958.69,958.69,Debit Card,Bangalore,1.0
2,2,2,Electronics,1,5065.82,4690.69,International Card,Mumbai,1.0
1,3,3,Books,0,1811.69,1811.69,Paytm UPI,Pune,1.0
2,1,6,Clothing,1,995.1,534.96,Credit Card,Jaipur,1.0
1,1,3,Clothing,1,947.35,877.52,Net Banking,Mumbai,1.0
2,2,1,Electronics,1,6996.45,6504.84,Debit Card,Mumbai,1.0
0,2,3,Books,1,4195.72,4068.73,Credit Card,Bangalore,0.0
1,1,6,Beauty and Health,1,4913.76,4746.13,Credit Card,Mumbai,0.0
1,2,3,Clothing,0,1271.97,1271.97,Debit Card,Chennai,1.0
0,2,0,Electronics,1,3180.03,2928.79,Credit Card,Delhi,1.0
2,2,2,Beauty and Health,1,4908.71,4411.41,Net Banking,Delhi,1.0
0,0,0,Clothing,0,2868.65,2868.65,Debit Card,Delhi,1.0
0,3,6,Pet Care,0,4509.12,4509.12,Google Pay UPI,Chennai,0.0
0,2,0,Electronics,1,1177.81,930.25,Paytm UPI,Bangalore,1.0
0,2,6,Electronics,1,4747.45,4411.74,PhonePe UPI,Delhi,1.0
0,1,3,Beauty and Health,1,6061.88,5804.99,Debit Card,Hyderabad,0.0
1,3,3,Other,1,539.35,54.27,Debit Card,Lucknow,1.0
1,2,3,Beauty and Health,0,2101.75,2101.75,Credit Card,Mumbai,1.0
0,1,1,Beauty and Health,1,961.35,545.83,Net Banking,Mumbai,1.0
1,2,1,Beauty and Health,0,303.23,303.23,Debit Card,Delhi,0.0
2,3,5,Clothing,1,3411.89,3004.56,Credit Card,Ahmedabad,0.0
1,3,3,Beauty and Health,0,4716.18,4716.18,Net Banking,Mumbai,1.0
0,0,1,Beauty and Health,1,3575.41,3517.5,Credit Card,Mumbai,0.0
2,2,6,Pet Care,1,4257.7,3877.88,International Card,Ahmedabad,1.0
0,4,1,Electronics,1,3512.38,3308.44,Credit Card,Hyderabad,0.0
1,2,3,Electronics,1,1656.12,1348.08,Credit Card,Delhi,0.0
0,4,1,Electronics,0,2952.54,2952.54,Debit Card,Chennai,0.0
1,3,4,Clothing,0,2917.58,2917.58,Credit Card,Delhi,1.0
2,3,2,Sports & Fitness,0,1365.62,1365.62,Credit Card,Chennai,1.0
0,1,4,Sports & Fitness,1,5402.54,5019.39,Credit Card,Jaipur,1.0
1,1,1,Electronics,1,5069.14,4772.97,Credit Card,Pune,1.0
0,2,3,Electronics,0,4318.13,4318.13,Debit Card,Chennai,1.0
2,1,1,Electronics,1,2789.27,2672.8,Debit Card,Mumbai,1.0
2,1,1,Clothing,1,2866.31,2410.06,Debit Card,Chennai,0.0
1,1,4,Clothing,1,293.16,224.62,Debit Card,Delhi,1.0
0,3,5,Sports & Fitness,1,1604.81,1347.73,International Card,Ahmedabad,0.0
0,2,3,Electronics,0,570.76,570.76,Debit Card,Delhi,1.0
2,2,3,Sports & Fitness,0,2142.8,2142.8,Credit Card,Delhi,0.0
0,1,3,Electronics,0,5646.17,5646.17,Cash on Delivery,Jaipur,1.0
0,1,1,Books,1,4888.0,4477.26,PhonePe UPI,Ahmedabad,1.0
0,2,6,Electronics,0,391.48,391.48,PhonePe UPI,Pune,1.0
1,1,6,Home & Kitchen,1,1720.85,1509.67,International Card,Bangalore,1.0
2,3,0,Other,0,4917.2,4917.2,Debit Card,Pune,1.0
0,4,0,Home & Kitchen,0,2440.16,2440.16,International Card,Delhi,0.0
0,1,2,Electronics,1,4674.32,4301.33,Credit Card,Mumbai,1.0
1,2,5,Electronics,0,4942.73,4942.73,Net Banking,Hyderabad,1.0
2,4,4,Electronics,0,3875.54,3875.54,Credit Card,Delhi,1.0
1,2,5,Other,0,2379.14,2379.14,Debit Card,Ahmedabad,1.0
0,3,6,Electronics,0,1904.94,1904.94,Credit Card,Hyderabad,0.0
2,2,2,Sports & Fitness,1,5284.46,5093.44,PhonePe UPI,Delhi,1.0
1,4,4,Beauty and Health,0,3613.98,3613.98,Debit Card,Delhi,1.0
1,2,2,Electronics,1,689.44,450.64,Credit Card,Delhi,0.0
0,2,4,Electronics,1,2044.99,1725.26,Debit Card,Ahmedabad,0.0
2,2,3,Beauty and Health,1,2548.71,2106.24,Net Banking,Delhi,1.0
0,2,4,Pet Care,1,452.81,81.03,Paytm UPI,Mumbai,1.0
1,1,1,Books,1,1673.5,1523.97,Credit Card,Pune,1.0
1,2,0,Clothing,0,745.15,745.15,Cash on Delivery,Chennai,1.0
1,3,5,Clothing,1,4006.0,3521.07,Debit Card,Delhi,0.0
0,1,6,Electronics,0,3347.5,3347.5,Credit Card,Mumbai,0.0
0,2,0,Clothing,1,2354.46,1955.83,Debit Card,Varanasi,0.0
2,2,0,Books,1,2893.4,2766.46,Debit Card,Bangalore,1.0
0,2,2,Clothing,0,4559.89,4559.89,International Card,Bangalore,0.0
1,2,6,Sports & Fitness,0,2716.3,2716.3,Paytm UPI,Hyderabad,1.0
1,2,5,Sports & Fitness,1,2733.58,2310.77,Credit Card,Mumbai,1.0
1,3,1,Electronics,0,2283.37,2283.37,Credit Card,Ahmedabad,1.0
0,2,5,Clothing,0,2786.43,2786.43,Debit Card,Hyderabad,1.0
2,1,3,Electronics,1,3650.13,3217.19,Credit Card,Pune,0.0
1,2,4,Other,0,1299.97,1299.97,Credit Card,Jaipur,1.0
2,1,2,Books,1,2146.01,1837.82,Net Banking,Delhi,0.0
0,1,0,Clothing,1,1956.47,1468.39,Cash on Delivery,Hyderabad,1.0
2,2,0,Sports & Fitness,0,2211.04,2211.04,Credit Card,Delhi,1.0
1,3,1,Electronics,1,4902.54,4544.37,Credit Card,Jaipur,1.0
0,2,2,Beauty and Health,0,2688.35,2688.35,Credit Card,Bangalore,1.0
0,2,5,Sports & Fitness,0,1036.84,1036.84,Google Pay UPI,Mumbai,1.0
1,2,5,Beauty and Health,1,5677.57,5600.94,Credit Card,Other,1.0
1,2,5,Electronics,0,2407.41,2407.41,Debit Card,Varanasi,1.0
2,1,0,Electronics,0,4104.65,4104.65,Credit Card,Mumbai,0.0
2,2,3,Electronics,1,4234.38,4181.88,Credit Card,Bangalore,1.0
2,2,1,Electronics,0,4503.28,4503.28,Credit Card,Mumbai,1.0
2,1,4,Electronics,0,4528.33,4528.33,Credit Card,Bangalore,0.0
0,2,3,Beauty and Health,1,1586.97,1237.49,PhonePe UPI,Bangalore,1.0
2,3,6,Beauty and Health,1,434.91,119.7,PhonePe UPI,Pune,1.0
1,2,4,Sports & Fitness,1,4971.12,4564.17,Credit Card,Delhi,0.0
0,3,1,Electronics,1,904.79,432.59,Debit Card,Chennai,1.0
1,4,0,Home & Kitchen,0,325.7,325.7,Google Pay UPI,Mumbai,0.0
1,1,3,Electronics,0,3994.66,3994.66,Google Pay UPI,Chennai,0.0
0,2,3,Clothing,1,1560.08,1305.55,Debit Card,Ahmedabad,1.0
0,1,4,Clothing,1,3126.16,2706.38,Debit Card,Other,1.0
1,3,6,Pet Care,0,5500.38,5500.38,Credit Card,Bangalore,1.0
0,3,6,Pet Care,1,2826.42,2739.19,International Card,Bangalore,1.0
1,2,5,Books,0,198.68,198.68,Credit Card,Chennai,1.0
1,1,1,Home & Kitchen,0,3179.44,3179.44,International Card,Mumbai,1.0
2,1,2,Home & Kitchen,1,6212.0,5916.24,Credit Card,Delhi,1.0
0,1,3,Electronics,1,1489.61,1283.8,Credit Card,Chennai,1.0
1,2,4,Pet Care,0,1370.68,1370.68,Credit Card,Kolkata,1.0
0,1,1,Home & Kitchen,1,4858.28,4792.63,Debit Card,Ahmedabad,0.0
1,2,1,Beauty and Health,0,4081.12,4081.12,Debit Card,Mumbai,1.0
2,2,2,Electronics,1,4383.58,4108.89,Credit Card,Varanasi,1.0
1,1,2,Books,1,511.78,285.23,PhonePe UPI,Hyderabad,1.0
2,1,6,Electronics,1,5452.57,5069.31,PhonePe UPI,Ahmedabad,1.0
2,3,2,Beauty and Health,1,416.12,345.59,Cash on Delivery,Lucknow,1.0
0,2,4,Electronics,0,4479.38,4479.38,Credit Card,Bangalore,1.0
1,2,5,Electronics,1,3030.97,2926.4,Credit Card,Bangalore,0.0
1,0,6,Other,0,633.09,633.09,Credit Card,Ahmedabad,0.0
1,1,2,Beauty and Health,1,2423.52,2151.89,Debit Card,Srinagar,0.0
2,1,6,Other,0,3546.56,3546.56,Net Banking,Delhi,1.0
0,2,0,Beauty and Health,0,3080.27,3080.27,Credit Card,Delhi,0.0
0,2,4,Home & Kitchen,1,1132.24,895.66,Google Pay UPI,Bangalore,1.0
0,3,3,Electronics,1,493.75,384.08,Credit Card,Kolkata,1.0
0,1,3,Pet Care,1,5018.91,4948.98,Credit Card,Ahmedabad,0.0
2,1,2,Electronics,1,4236.46,4154.01,Debit Card,Mumbai,1.0
1,2,2,Pet Care,1,4624.71,4426.14,Cash on Delivery,Hyderabad,0.0
0,2,0,Toys & Games,1,1298.53,1200.02,Credit Card,Mumbai,1.0
2,3,1,Books,1,658.22,531.67,Credit Card,Bangalore,1.0
1,3,2,Home & Kitchen,1,5035.14,4590.28,Debit Card,Ahmedabad,1.0
0,1,2,Clothing,0,2522.25,2522.25,Net Banking,Bangalore,1.0
1,2,3,Clothing,0,3490.76,3490.76,Google Pay UPI,Delhi,1.0
2,2,6,Electronics,1,2422.72,2189.61,Credit Card,Mumbai,0.0
1,2,4,Beauty and Health,0,3989.89,3989.89,Google Pay UPI,Bangalore,1.0
0,2,2,Electronics,1,4408.4,4035.54,Credit Card,Mumbai,1.0
1,1,5,Beauty and Health,1,4101.3,3835.31,International Card,Hyderabad,1.0
1,1,6,Electronics,1,1572.71,1132.79,Credit Card,Hyderabad,1.0
1,3,2,Beauty and Health,0,5571.22,5571.22,Credit Card,Mumbai,1.0
0,1,5,Home & Kitchen,1,4416.45,4149.38,Net Banking,Chennai,1.0
2,2,6,Clothing,0,5321.72,5321.72,Paytm UPI,Hyderabad,1.0
1,2,6,Sports & Fitness,1,4160.0,4079.25,Debit Card,Hyderabad,1.0
2,2,3,Clothing,0,3901.16,3901.16,Debit Card,Bangalore,0.0
2,1,4,Beauty and Health,1,3567.68,3226.54,Cash on Delivery,Ahmedabad,1.0
1,2,1,Electronics,0,5346.41,5346.41,Credit Card,Kolkata,1.0
2,2,6,Beauty and Health,0,3357.6,3357.6,Credit Card,Chennai,1.0
2,1,1,Beauty and Health,0,495.07,495.07,Debit Card,Jaipur,1.0
0,3,0,Beauty and Health,1,2545.29,2384.81,Net Banking,Bangalore,0.0
0,0,3,Electronics,0,2521.06,2521.06,Credit Card,Pune,0.0
0,1,3,Electronics,1,3409.79,3300.69,Credit Card,Kolkata,1.0
0,0,4,Beauty and Health,1,5098.73,4712.0,Credit Card,Hyderabad,0.0
2,2,3,Electronics,0,4620.48,4620.48,International Card,Mumbai,1.0
0,1,4,Home & Kitchen,0,330.36,330.36,Cash on Delivery,Chennai,1.0
1,2,5,Clothing,1,1159.33,1102.7,Cash on Delivery,Delhi,1.0
2,1,1,Beauty and Health,1,3969.11,3495.24,Credit Card,Ahmedabad,1.0
